site,n,al,as,cd,co,cr,cu,fe,mn,ni,pb,zn,season,unit,p_h,do_mg_l,sc_u_s_cm,low_net_acidity_mg_l_ca_co3,high_net_acidity_mg_l_ca_co3,sulfate_mg_l,q_l_s,ph_flag,flow_flag,cond_s_cm,ph_category,cond_category,flow_category,p_h_outlier,cond_s_cm_outlier,q_l_s_outlier,al_outlier,as_outlier,cd_outlier,co_outlier,cr_outlier,cu_outlier,fe_outlier,mn_outlier,ni_outlier,pb_outlier,zn_outlier
6Cb,2,64.1,15,4.73,0.7,0.049,0.32,637,43.4,2.26,6.05,1140,wet,mg_L,NA,NA,NA,NA,NA,NA,NA,missing,missing,1500,NA,High (1500-3000),Unknown,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7C,1,1300,138,10.6,2.79,1.1,227,8130,9.6,2.83,5.65,1170,wet,mg_L,2.1,3.1,23200,24300,31600,23000,0.05,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
7C,1,1300,138,10.6,2.79,1.1,227,8130,9.6,2.83,5.65,1170,wet,mg_L,2.1,3.1,23200,24300,31600,23000,0.05,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1Ab,2,25.7,0.94,0.43,0.079,0.011,0.13,105,14.1,0.087,3.23,271,wet,mg_L,NA,NA,NA,NA,NA,NA,NA,missing,missing,1500,NA,High (1500-3000),Unknown,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2A,1,77.1,41.5,9.42,0.73,0.042,0.13,2410,122,0.92,1.46,3360,wet,mg_L,2.3,0.1,11300,10400,12500,8740,0.18,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2A,1,77.1,41.5,9.42,0.73,0.042,0.13,2410,122,0.92,1.46,3360,wet,mg_L,2.3,0.1,11300,10400,12500,8740,0.18,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3A,1,446,8.44,16.5,2.02,0.14,29.9,2140,45.8,2.91,0.65,3810,wet,mg_L,3.6,3,9230,12300,14200,10000,0.02,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3A,1,446,8.44,16.5,2.02,0.14,29.9,2140,45.8,2.91,0.65,3810,wet,mg_L,3.6,3,9230,12300,14200,10000,0.02,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4A,1,0.11,0,0,0,0,0,0.12,3.95,0,0,0.24,wet,mg_L,6.9,5.7,345,NA,NA,232,0.03,valid,valid,1500,Slightly Acidic (6-7),High (1500-3000),Low (<1 L/s),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4A,1,0.11,0,0,0,0,0,0.12,3.95,0,0,0.24,wet,mg_L,6.9,5.7,345,NA,NA,232,0.03,valid,valid,1500,Slightly Acidic (6-7),High (1500-3000),Low (<1 L/s),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5A,1,3.82,0,8e-4,0,0.001,0,3.12,0.42,0,0.043,0.26,wet,mg_L,6.9,5.55,272,NA,NA,257,0.06,valid,valid,1500,Slightly Acidic (6-7),High (1500-3000),Low (<1 L/s),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5A,1,3.82,0,8e-4,0,0.001,0,3.12,0.42,0,0.043,0.26,wet,mg_L,6.9,5.55,272,NA,NA,257,0.06,valid,valid,1500,Slightly Acidic (6-7),High (1500-3000),Low (<1 L/s),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1T,1,123,0,0.55,0.27,0.005,20,27.8,39.4,0.23,0.036,87,wet,mg_L,3,3.75,2710,1020,1050,1730,0.72,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1T,1,123,0,0.55,0.27,0.005,20,27.8,39.4,0.23,0.036,87,wet,mg_L,3,3.75,2710,1020,1050,1730,0.72,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2T,1,8.27,0,0.1,0.022,0,0.68,0.14,4.23,0.058,0,15.5,wet,mg_L,3.1,1,1174,NA,83.2,498,1.1,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Medium (1-5 L/s),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2T,1,8.27,0,0.1,0.022,0,0.68,0.14,4.23,0.058,0,15.5,wet,mg_L,3.1,1,1174,NA,83.2,498,1.1,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Medium (1-5 L/s),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3T,1,0.48,0,0.035,0,0,0,0.13,0.79,0.022,0,6.32,wet,mg_L,6.4,3.79,960,NA,NA,322,0.33,valid,valid,1500,Slightly Acidic (6-7),High (1500-3000),Low (<1 L/s),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3T,1,0.48,0,0.035,0,0,0,0.13,0.79,0.022,0,6.32,wet,mg_L,6.4,3.79,960,NA,NA,322,0.33,valid,valid,1500,Slightly Acidic (6-7),High (1500-3000),Low (<1 L/s),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4T,1,7480,889,16.6,14.8,2.51,310,72100,96.1,11.4,24.8,1660,wet,mg_L,0.9,NA,54600,181000,246000,175000,0.03,valid,valid,1500,Extremely Acidic (<2),High (1500-3000),Low (<1 L/s),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
4T,1,7480,889,16.6,14.8,2.51,310,72100,96.1,11.4,24.8,1660,wet,mg_L,0.9,NA,54600,181000,246000,175000,0.03,valid,valid,1500,Extremely Acidic (<2),High (1500-3000),Low (<1 L/s),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
